año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,MIRLA PANTANERA,TURDUS FUSCATER,2
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,FLAMINGO ROSADO,PHOENICOPTERUS RUBER,1
2008,RISARALDA,BELÉN DE UMBRÍA,SANTA HELENA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,GUACAMAYA BANDERA,ARA MACAO,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CONVENCION,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,1
2008,RISARALDA,PEREIRA,TRIBUNAS,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,AVENIDA DEL RIO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,PERICO REAL,BOTOGERIS JUGULARIS,1
2008,RISARALDA,PEREIRA,PANORAMA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,1
2008,RISARALDA,SANTA ROSA DE CABAL,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,MAGNIROSTRIS,BUTEO MAGNIROSTRIS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,SANTUARIO,CORINTO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,BABILLA,CAIMAN COCODRYLUS,1
2008,RISARALDA,SANTUARIO,LA BRETAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,1
2008,RISARALDA,LA VIRGINIA,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CORALES,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,LA VIRGINIA,LIBERTADORES,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,Centro Rehabilitacion AVES RAPACES,AVES,CHOLIBA,OTUS CHOLIBA,1
